"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID31_CampusCourseFeesResKey","UID4_CoursesOnCampusResKey","E525_CampusSuburb","E644_CampusCountryCode","E559_CampusPostcode","Campuses_E609_EffectiveFromDate","UID5_CoursesResKey","E307_CourseCode","E536_CourseFeesCode","E495_IndicativeStudentContributionCSP","E496_IndicativeTuitionFeeDomesticFP","E609_EffectiveFromDate"
35,1055,"HEP",65721,37383,"CRAWLEY",1101,"6009","01/01/1999",11594,"6013H1",1,"9268.00","NULL","01/11/2022"
35,1055,"HEP",26062,37385,"ALBANY",1101,"6330","01/01/1999",10431,"401102",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",65485,42109,"CRAWLEY",1101,"6009","01/01/1999",111768,"BH0042",1,"9954.00","NULL","01/11/2022"
35,1055,"HEP",38518,42134,"CRAWLEY",1101,"6009","01/01/1999",11032,"504902",1,"8792.00","NULL","01/01/2013"
35,1055,"HEP",38566,42134,"CRAWLEY",1101,"6009","01/01/1999",11032,"504902",1,"9050.00","NULL","01/11/2021"
35,1055,"HEP",65512,42134,"CRAWLEY",1101,"6009","01/01/1999",11032,"504902",1,"9247.00","NULL","01/11/2022"
35,1055,"HEP",38536,42152,"CRAWLEY",1101,"6009","01/01/1999",101332,"545701",1,"14500.00","NULL","01/01/2013"
35,1055,"HEP",38564,42152,"CRAWLEY",1101,"6009","01/01/1999",101332,"545701",1,"14630.00","NULL","01/11/2021"
35,1055,"HEP",65504,42152,"CRAWLEY",1101,"6009","01/01/1999",101332,"545701",1,"4124.00","NULL","01/11/2022"
35,1055,"HEP",38543,42159,"CRAWLEY",1101,"6009","01/01/1999",101296,"DU0061",1,"5133.00","NULL","01/01/2018"
35,1055,"HEP",38606,42159,"CRAWLEY",1101,"6009","01/01/1999",101296,"DU0061",1,"8342.00","NULL","01/11/2021"
35,1055,"HEP",65500,42159,"CRAWLEY",1101,"6009","01/01/1999",101296,"DU0061",1,"9353.00","NULL","01/11/2022"
35,1055,"HEP",38550,42166,"CRAWLEY",1101,"6009","01/01/1999",12368,"704902",1,"8792.00","NULL","01/01/2013"
35,1055,"HEP",38579,42166,"CRAWLEY",1101,"6009","01/01/1999",12368,"704902",1,"9050.00","NULL","01/11/2021"
35,1055,"HEP",65510,42166,"CRAWLEY",1101,"6009","01/01/1999",12368,"704902",1,"9247.00","NULL","01/11/2022"
35,1055,"HEP",26087,37410,"ALBANY",1101,"6330","01/01/1999",9930,"111002",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",26118,37441,"CRAWLEY",1101,"6009","01/01/1999",9287,"101102",0,"NULL","NULL","01/01/2005"
35,1055,"HEP",38669,42204,"CRAWLEY",1101,"6009","01/01/1999",91179,"213501",2,"NULL","36400.00","01/01/2016"
