"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","UID5_CoursesResKey","E307_CourseCode","E394_CourseOfStudyName","UID48_CourseFieldsOfEducationResKey","E461_FieldOfEducationCode","E462_FieldOfEducationSupplementaryCode","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",17184,"50410",43929,"504101GL","Master of Science - Preliminary",56765,61799,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17184,"50410",43929,"504101GL","Master of Science - Preliminary",56766,61799,0,"01/01/2007","NULL"
35,1055,"HEP",26261,"6119H",63320,"6119H1","Bachelor of Engineering and Bachelor of Economics (Honours)",79271,30000,91900,"01/01/2006","NULL"
35,1055,"HEP",26256,"2113H",63373,"2113H1","Bachelor of Musical Arts and Bachelor of Laws (Honours)",79325,90900,100101,"01/01/2009","NULL"
35,1055,"HEP",21499,"11180",53526,"101301","Bachelor of Music Education",68391,100101,0,"01/01/2005","31/12/2005"
35,1055,"HEP",21499,"11180",53526,"101301","Bachelor of Music Education",68392,100101,0,"01/01/2006","NULL"
35,1055,"HEP",21840,"10180",56551,"101801","Bachelor of Arts and Bachelor of Laws",71940,90900,90000,"01/01/2005","NULL"
35,1055,"HEP",21833,"2116H",56702,"2116H2","Bachelor of Laws and Bachelor of Economics (Honours)",72108,90900,91900,"01/01/2011","NULL"
35,1055,"HEP",21842,"50160",56704,"501601","Bachelor of Science and Bachelor of Jurisprudence",72110,90900,10000,"01/01/2005","NULL"
35,1055,"HEP",17171,"30410",43651,"304101DH","Master of Education - Preliminary",56353,90701,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17171,"30410",43651,"304101DH","Master of Education - Preliminary",56354,90701,0,"01/01/2007","NULL"
35,1055,"HEP",17173,"30430",43917,"304301","Doctor of Education - Preliminary",56745,70100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17173,"30430",43917,"304301","Doctor of Education - Preliminary",56746,70100,0,"01/01/2007","NULL"
35,1055,"HEP",17184,"50410",44036,"504101GH","Master of Science - Preliminary",56913,19900,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17184,"50410",44036,"504101GH","Master of Science - Preliminary",56914,19900,0,"01/01/2007","NULL"
35,1055,"HEP",17207,"60510",44102,"605101","Master of Engineering Science - Coursework",57002,30900,0,"01/01/2005","31/12/2006"
35,1055,"HEP",18637,"70310",46854,"703101","Graduate Diploma in Science in Agriculture",60340,50100,0,"01/01/2007","NULL"
35,1055,"HEP",17102,"70430",43548,"704301GL","Master of Science in Horticulture - Preliminary",56188,61799,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17102,"70430",43548,"704301GL","Master of Science in Horticulture - Preliminary",56189,61799,0,"01/01/2007","NULL"
35,1055,"HEP",17141,"31370",43637,"313701","Graduate Diploma in Inclusive Education",56328,70303,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17141,"31370",43637,"313701","Graduate Diploma in Inclusive Education",56329,70303,0,"01/01/2007","NULL"
35,1055,"HEP",17121,"40420",43771,"404201IH","Master of Economics - Preliminary",56536,50100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17121,"40420",43771,"404201IH","Master of Economics - Preliminary",56537,50100,0,"01/01/2007","NULL"
35,1055,"HEP",17137,"30660",43782,"306601","Master of Education - Coursework & Dissertation",56553,70100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17137,"30660",43782,"306601","Master of Education - Coursework & Dissertation",56554,70100,0,"01/01/2007","NULL"
35,1055,"HEP",17193,"50610",44039,"506101DH","Master of Science - Dissertation & Coursework",56919,90701,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17193,"50610",44039,"506101DH","Master of Science - Dissertation & Coursework",56920,90701,0,"01/01/2007","NULL"
35,1055,"HEP",17184,"50410",44250,"504101BL","Master of Science - Preliminary",57168,90300,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17184,"50410",44250,"504101BL","Master of Science - Preliminary",57169,90300,0,"01/01/2007","NULL"
35,1055,"HEP",17194,"50630",44273,"506301","Master of Physical and Health Education - Diss & Cswk",57200,69903,0,"01/01/2005","31/12/2006"
35,1055,"HEP",26262,"1012H",63314,"1012H2","Bachelor of Music Honours",79264,100101,0,"01/01/2005","NULL"
35,1055,"HEP",21877,"50090",57262,"500901","Bachelor of Arts and Bachelor of Science",72722,10000,90000,"01/01/2005","NULL"
35,1055,"HEP",21872,"60150",56880,"601501","Bachelor of Engineering and Bachelor of Arts (Asian Studies)",72297,30000,91500,"01/01/2005","NULL"
35,1055,"HEP",21869,"60140",56911,"601701","Bachelor of Engineering and Bachelor of Commerce",72330,30000,80000,"01/01/2005","NULL"
35,1055,"HEP",17106,"70620",43458,"706201","Master of Science in Natural Resource Management - Cswk & Diss",56046,50901,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17106,"70620",43458,"706201","Master of Science in Natural Resource Management - Cswk & Diss",56047,50901,0,"01/01/2007","NULL"
35,1055,"HEP",17124,"40520",43475,"405201","Master of Economics - Coursework",56075,91900,0,"01/01/2005","31/12/2006"
